state,action
[-1  1 -1 -1  1  1  1 -1  1],-0.8999999999991
[-1  1 -1 -1  1  1  1 -1  0],-0.8097724709271
[-1  1 -1 -1  1  1  0  0  0],-0.43046721000000016
[-1  1 -1  0  1  0  0  0  0],7.188857046351901
[-1  0  0  0  1  0  0  0  0],4.582373442942497
[-1  0  0  0  0  1  1  0  0],0
[-1  0  0  0  0  1  0  1  0],3.7155523255496106
[-1  0  0  0  0  1  0  0  1],5.3144100000000005
[-1  1 -1  0  0  1  1  0  0],3.835462841100001
[-1  1 -1  0  0  1  0  1  0],5.3144100000000005
[-1  1 -1  0  0  1  0  0  1],-0.38742048861257966
[-1  1 -1  1 -1  1  1  0  0],-0.5314410000000002
[-1  1 -1  1 -1  1  0  1  0],-8.1
[-1  1 -1  1 -1  1  0  0  1],-8.1
[-1  1 -1  1 -1  1  1 -1  1],-0.8999991
[-1  1 -1  1 -1  1  1 -1  0],-0.6561000000000001
[-1  1 -1  1 -1  1  0  0  0],-0.43046721000000016
[-1  1 -1  0  0  1  0  0  0],-0.28242953648100017
[-1  0  0  0  0  1  0  0  0],4.020389543330149
[-1  0  0  0  0  0  1  1  0],0
[-1  0  0  0  0  0  1  0  1],0
[-1  1 -1  0  0  0  1  1  0],5.845851000000001
[-1  1 -1  0  0  0  1  0  1],-0.07744148154620989
[-1  1 -1  1 -1  0  1  1  0],-7.5685590000000005
[-1  1 -1  1 -1  0  1  0  1],-0.5898995100000001
[-1  1 -1  1 -1 -1  1  1  1],8.991
[-1  1 -1  1 -1 -1  1  1  0],6.561
[-1  1 -1  1 -1  0  1  0  0],4.3046721
[-1  1 -1  0  0  0  1  0  0],2.82429536481
[-1  0  0  0  0  0  1  0  0],3.902702911975946
[ 0 -1  0  1  0  0  1  0  0],0
[ 0 -1  0  0  1  0  1  0  0],0
[ 0 -1  0  0  0  1  1  0  0],0
[ 0 -1  0  0  0  0  1  1  0],0
[ 0 -1  0  0  0  0  1  0  1],0
[ 1 -1 -1  1  0  0  1  0  0],8.91
[ 1 -1 -1  0  1  0  1  0  0],-0.0697356880199999
[ 1 -1 -1  0  0  1  1  0  0],-0.38703306851100006
[ 1 -1 -1  0  0  0  1  1  0],3.4867844010000004
[ 1 -1 -1  0  0  0  1  0  1],5.3144100000000005
[ 1 -1 -1  0  0  0  1  0  0],6.561
[ 0 -1  0  0  0  0  1  0  0],4.3046721
[ 0  0 -1  1  0  0  1  0  0],-3.6415627605603906
[ 0  0 -1  0  1  0  1  0  0],-3.1288601244395564
[ 0  0 -1  0  0  1  1  0  0],-0.0022876792454962214
[ 0  0 -1  0  0  0  1  1  0],-3.219661848039391
[ 0  0 -1  0  0  0  1  0  1],-5.240042956080206
[ 1  0 -1 -1  1  0  1  0  0],0
[ 1  0 -1 -1  0  1  1  0  0],0
[ 1  0 -1 -1  0  0  1  1  0],-5.3144100000000005
[ 1  0 -1 -1  0  0  1  0  1],0.2010388158900005
